Tag Name,Colour,Description,Highlight Count,Domains Where Used,Example Quotes
Community engagement,#EC4899,Connections with and impact on local community,0,,
Democratic governance gaps,#6366F1,Gaps between governance ideals and practice,0,,
Funding dependency,#EF4444,"Reliance on grants, subsidies, or single funding sources",0,,
Mission drift,#F97316,Tension between social mission and commercial pressures,0,,
Participant autonomy,#22C55E,Degree of agency and self-determination for participants,1,Support Infrastructure,"st-traumatic stress, was"
Regulatory barriers,#EAB308,Legal and regulatory challenges faced by WISEs,0,,
Skills transferability,#3B82F6,Portability of skills to open labour market,0,,
Social inclusion,#8B5CF6,Practices promoting inclusion of marginalised groups,0,,
Stakeholder tension,#14B8A6,Conflicts or trade-offs between stakeholder groups,0,,
Workforce development,#06B6D4,"Training, mentoring, and career progression support",0,,